,structure_name,SurfArea,GrayVol,AvgThick,sub_id
55,lh_S_intrapariet&P_trans,2228,4685,2.302,sub-0002
56,lh_S_oc_middle&Lunatus,576,1118,2.508,sub-0002
57,lh_S_oc_sup&transversal,937,1859,2.255,sub-0002
58,lh_S_occipital_ant,508,1020,2.57,sub-0002
59,lh_S_oc-temp_lat,605,1530,2.667,sub-0002
60,lh_S_oc-temp_med&Lingual,1387,3127,2.572,sub-0002
61,lh_S_orbital_lateral,263,532,2.164,sub-0002
62,lh_S_orbital_med-olfact,548,1087,2.317,sub-0002
63,lh_S_orbital-H_Shaped,908,2718,2.918,sub-0002
64,lh_S_parieto_occipital,1496,3218,2.271,sub-0002
65,lh_S_pericallosal,864,1360,2.104,sub-0002
66,lh_S_postcentral,1873,4065,2.33,sub-0002
67,lh_S_precentral-inf-part,921,2178,2.643,sub-0002
68,lh_S_precentral-sup-part,852,2048,2.643,sub-0002
69,lh_S_suborbital,490,968,2.37,sub-0002
70,lh_S_subparietal,607,1353,2.493,sub-0002
71,lh_S_temporal_inf,1147,3047,2.999,sub-0002
72,lh_S_temporal_sup,3745,9020,2.605,sub-0002
73,lh_S_temporal_transverse,315,702,2.726,sub-0002
0,rh_G&S_frontomargin,655,1907,2.607,sub-0002
1,rh_G&S_occipital_inf,855,2614,2.523,sub-0002
2,rh_G&S_paracentral,795,2412,2.412,sub-0002
3,rh_G&S_subcentral,867,2730,2.792,sub-0002
4,rh_G&S_transv_frontopol,876,2832,2.627,sub-0002
5,rh_G&S_cingul-Ant,2076,6568,2.864,sub-0002
6,rh_G&S_cingul-Mid-Ant,779,2495,3.141,sub-0002
7,rh_G&S_cingul-Mid-Post,890,2450,2.721,sub-0002
8,rh_G_cingul-Post-dorsal,315,1309,3.14,sub-0002
9,rh_G_cingul-Post-ventral,166,546,2.634,sub-0002
10,rh_G_cuneus,1474,3087,1.88,sub-0002
11,rh_G_front_inf-Opercular,786,3164,3.009,sub-0002
12,rh_G_front_inf-Orbital,325,1265,2.836,sub-0002
13,rh_G_front_inf-Triangul,848,3074,2.77,sub-0002
14,rh_G_front_middle,2568,9931,2.86,sub-0002
15,rh_G_front_sup,4190,16961,3.143,sub-0002
16,rh_G_Ins_lg&S_cent_ins,432,1568,3.294,sub-0002
17,rh_G_insular_short,437,2293,3.713,sub-0002
18,rh_G_occipital_middle,1304,4013,2.457,sub-0002
19,rh_G_occipital_sup,1030,2599,2.135,sub-0002
20,rh_G_oc-temp_lat-fusifor,1492,5616,2.939,sub-0002
21,rh_G_oc-temp_med-Lingual,1810,3709,1.878,sub-0002
22,rh_G_oc-temp_med-Parahip,713,3203,3.252,sub-0002
23,rh_G_orbital,1977,7320,2.858,sub-0002
24,rh_G_pariet_inf-Angular,1855,7145,2.77,sub-0002
25,rh_G_pariet_inf-Supramar,1461,5170,2.786,sub-0002
26,rh_G_parietal_sup,1680,5410,2.474,sub-0002
27,rh_G_postcentral,1212,3314,2.12,sub-0002
28,rh_G_precentral,1558,6564,3.102,sub-0002
29,rh_G_precuneus,1655,5315,2.653,sub-0002
30,rh_G_rectus,534,1911,2.534,sub-0002
31,rh_G_subcallosal,310,760,2.387,sub-0002
32,rh_G_temp_sup-G_T_transv,241,792,2.637,sub-0002
33,rh_G_temp_sup-Lateral,1255,5688,3.259,sub-0002
34,rh_G_temp_sup-Plan_polar,590,2193,3.255,sub-0002
35,rh_G_temp_sup-Plan_tempo,604,1770,2.754,sub-0002
36,rh_G_temporal_inf,1552,6209,2.936,sub-0002
37,rh_G_temporal_middle,2076,9199,3.221,sub-0002
38,rh_Lat_Fis-ant-Horizont,219,419,2.14,sub-0002
39,rh_Lat_Fis-ant-Vertical,258,543,2.423,sub-0002
40,rh_Lat_Fis-post,935,2045,2.678,sub-0002
41,rh_Pole_occipital,2110,4024,1.803,sub-0002
42,rh_Pole_temporal,1142,6414,3.668,sub-0002
43,rh_S_calcarine,1450,2282,1.843,sub-0002
44,rh_S_central,2116,3616,1.985,sub-0002
45,rh_S_cingul-Marginalis,798,1743,2.362,sub-0002
46,rh_S_circular_insula_ant,433,896,2.841,sub-0002
47,rh_S_circular_insula_inf,781,1835,2.988,sub-0002
48,rh_S_circular_insula_sup,959,2328,2.894,sub-0002
49,rh_S_collat_transv_ant,570,1660,2.947,sub-0002
50,rh_S_collat_transv_post,361,620,2.11,sub-0002
51,rh_S_front_inf,1174,2567,2.382,sub-0002
52,rh_S_front_middle,1609,3660,2.257,sub-0002
53,rh_S_front_sup,1836,4598,2.633,sub-0002
54,rh_S_interm_prim-Jensen,508,1003,2.338,sub-0002
55,rh_S_intrapariet&P_trans,2748,5782,2.282,sub-0002
56,rh_S_oc_middle&Lunatus,492,886,2.135,sub-0002
57,rh_S_oc_sup&transversal,830,1666,2.305,sub-0002
58,rh_S_occipital_ant,555,1079,2.278,sub-0002
59,rh_S_oc-temp_lat,936,1960,2.545,sub-0002
60,rh_S_oc-temp_med&Lingual,1440,3185,2.652,sub-0002
61,rh_S_orbital_lateral,267,506,2.33,sub-0002
62,rh_S_orbital_med-olfact,539,1064,2.272,sub-0002
63,rh_S_orbital-H_Shaped,909,2423,2.779,sub-0002
64,rh_S_parieto_occipital,1327,2796,2.394,sub-0002
65,rh_S_pericallosal,526,1071,2.643,sub-0002
66,rh_S_postcentral,1520,2975,2.177,sub-0002
67,rh_S_precentral-inf-part,1068,2590,2.666,sub-0002
68,rh_S_precentral-sup-part,983,2213,2.653,sub-0002
69,rh_S_suborbital,293,593,2.278,sub-0002
70,rh_S_subparietal,661,1540,2.551,sub-0002
71,rh_S_temporal_inf,1018,2129,2.631,sub-0002
72,rh_S_temporal_sup,5037,12786,2.739,sub-0002
73,rh_S_temporal_transverse,238,612,3.008,sub-0002
0,lh_G&S_frontomargin,935,2644,2.489,sub-0003
1,lh_G&S_occipital_inf,891,2353,2.359,sub-0003
2,lh_G&S_paracentral,1011,2535,2.211,sub-0003
3,lh_G&S_subcentral,897,2731,2.756,sub-0003
4,lh_G&S_transv_frontopol,357,1478,3.005,sub-0003
5,lh_G&S_cingul-Ant,1430,4446,2.92,sub-0003
6,lh_G&S_cingul-Mid-Ant,755,2125,2.895,sub-0003
7,lh_G&S_cingul-Mid-Post,937,2673,2.75,sub-0003
8,lh_G_cingul-Post-dorsal,318,1258,2.966,sub-0003
9,lh_G_cingul-Post-ventral,180,526,2.462,sub-0003
10,lh_G_cuneus,1392,2468,1.62,sub-0003
11,lh_G_front_inf-Opercular,906,3645,2.932,sub-0003
12,lh_G_front_inf-Orbital,282,1222,3.135,sub-0003
13,lh_G_front_inf-Triangul,704,2912,2.974,sub-0003
14,lh_G_front_middle,2695,10403,2.879,sub-0003
15,lh_G_front_sup,4033,16375,3.135,sub-0003
16,lh_G_Ins_lg&S_cent_ins,428,1652,3.05,sub-0003
17,lh_G_insular_short,367,2258,4.206,sub-0003
18,lh_G_occipital_middle,934,2813,2.357,sub-0003
19,lh_G_occipital_sup,946,2282,2.111,sub-0003
20,lh_G_oc-temp_lat-fusifor,1061,3679,2.855,sub-0003
21,lh_G_oc-temp_med-Lingual,1897,3401,1.614,sub-0003
22,lh_G_oc-temp_med-Parahip,907,3724,3.139,sub-0003
